grove_voc1,grove_no2,grove_eth,grove_co,ens_tvoc,ens_co2,temperature,pressure,altitude,humidity,"label
"
1.58,1.16,1.42,2.11,0.00,0.00,26.91,98856.19,207.60,14.81,"ambient
"
1.58,1.16,1.41,2.10,0.00,0.00,26.91,98854.22,207.77,14.83,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.91,98855.50,207.66,14.82,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.91,98854.91,207.71,14.81,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.91,98856.71,207.56,14.80,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.91,98857.41,207.50,14.80,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.90,98855.78,207.64,14.80,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.91,98855.35,207.68,14.80,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.90,98855.26,207.68,14.80,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.91,98854.65,207.74,14.80,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.91,98858.78,207.38,14.79,"ambient
"
1.58,1.15,1.41,2.10,0.00,0.00,26.91,98857.41,207.50,14.80,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.91,98858.00,207.45,14.79,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.91,98857.49,207.50,14.79,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.91,98856.54,207.57,14.74,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.91,98859.47,207.33,14.82,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.91,98857.83,207.47,14.77,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.91,98857.32,207.51,14.79,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.91,98858.35,207.42,14.80,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98858.00,207.45,14.82,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98856.63,207.57,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.41,207.50,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98858.28,207.43,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.58,207.49,14.79,"ambient
"
1.57,1.16,1.41,2.12,0.00,0.00,26.91,98858.25,207.43,14.77,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98858.25,207.43,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98856.28,207.60,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.66,207.48,14.77,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.91,98858.27,207.43,14.79,"ambient
"
1.57,1.15,1.41,2.13,0.00,0.00,26.91,98857.41,207.50,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.92,207.46,14.83,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.91,98856.63,207.57,14.76,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.24,207.52,14.80,"ambient
"
1.57,1.16,1.41,2.13,0.00,0.00,26.91,98857.24,207.52,14.74,"ambient
"
1.57,1.15,1.41,2.13,0.00,0.00,26.91,98857.66,207.48,14.80,"ambient
"
1.57,1.15,1.41,2.13,0.00,0.00,26.91,98857.66,207.48,14.75,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.90,98858.18,207.43,14.81,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.90,98857.92,207.46,14.81,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98858.53,207.41,14.81,"ambient
"
1.58,1.15,1.41,2.13,0.00,0.00,26.90,98858.18,207.43,14.80,"ambient
"
1.58,1.16,1.41,2.13,0.00,0.00,26.91,98857.14,207.52,14.80,"ambient
"
1.58,1.15,1.41,2.13,0.00,0.00,26.91,98858.52,207.41,14.80,"ambient
"
1.58,1.15,1.41,2.13,0.00,0.00,26.91,98856.28,207.60,14.80,"ambient
"
1.57,1.15,1.41,2.13,0.00,0.00,26.91,98855.35,207.68,14.80,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98858.17,207.44,14.80,"ambient
"
1.57,1.15,1.41,2.13,0.00,0.00,26.91,98857.24,207.52,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98856.89,207.55,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.07,207.53,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98857.75,207.47,14.81,"ambient
"
